"AGEGROUP","SEX","DISTRICT","POPULATION","REGION","PROVINCE","CD_DSTR_REFNIS"
"All","M","Dinant",54892,"Wallonia","Namur",91000
"0-9","All","Dinant",11975,"Wallonia","Namur",91000
"10-19","All","Dinant",13234,"Wallonia","Namur",91000
"20-29","All","Dinant",13213,"Wallonia","Namur",91000
"30-39","All","Dinant",13723,"Wallonia","Namur",91000
"40-49","All","Dinant",13833,"Wallonia","Namur",91000
"50-59","All","Dinant",15962,"Wallonia","Namur",91000
"60-69","All","Dinant",14196,"Wallonia","Namur",91000
"70-79","All","Dinant",9107,"Wallonia","Namur",91000
"80-89","All","Dinant",4973,"Wallonia","Namur",91000
"90+","All","Dinant",1070,"Wallonia","Namur",91000
"All","All","Dinant",111286,"Wallonia","Namur",91000
"0-9","F","Eeklo",4045,"Flanders","Oost-Vlaanderen",43000
"10-19","F","Eeklo",4500,"Flanders","Oost-Vlaanderen",43000
"20-29","F","Eeklo",4678,"Flanders","Oost-Vlaanderen",43000
"30-39","F","Eeklo",4896,"Flanders","Oost-Vlaanderen",43000
"40-49","F","Eeklo",5625,"Flanders","Oost-Vlaanderen",43000
"50-59","F","Eeklo",6159,"Flanders","Oost-Vlaanderen",43000
"60-69","F","Eeklo",5287,"Flanders","Oost-Vlaanderen",43000
"70-79","F","Eeklo",4079,"Flanders","Oost-Vlaanderen",43000
"80-89","F","Eeklo",2978,"Flanders","Oost-Vlaanderen",43000
"90+","F","Eeklo",729,"Flanders","Oost-Vlaanderen",43000
"All","F","Eeklo",42976,"Flanders","Oost-Vlaanderen",43000
"0-9","M","Eeklo",4253,"Flanders","Oost-Vlaanderen",43000
"10-19","M","Eeklo",4576,"Flanders","Oost-Vlaanderen",43000
"20-29","M","Eeklo",4948,"Flanders","Oost-Vlaanderen",43000
"30-39","M","Eeklo",5089,"Flanders","Oost-Vlaanderen",43000
"40-49","M","Eeklo",5794,"Flanders","Oost-Vlaanderen",43000
"50-59","M","Eeklo",6540,"Flanders","Oost-Vlaanderen",43000
"60-69","M","Eeklo",5346,"Flanders","Oost-Vlaanderen",43000
"70-79","M","Eeklo",3790,"Flanders","Oost-Vlaanderen",43000
"80-89","M","Eeklo",2066,"Flanders","Oost-Vlaanderen",43000
"90+","M","Eeklo",314,"Flanders","Oost-Vlaanderen",43000
"All","M","Eeklo",42716,"Flanders","Oost-Vlaanderen",43000
"0-9","All","Eeklo",8298,"Flanders","Oost-Vlaanderen",43000
"10-19","All","Eeklo",9076,"Flanders","Oost-Vlaanderen",43000
"20-29","All","Eeklo",9626,"Flanders","Oost-Vlaanderen",43000
"30-39","All","Eeklo",9985,"Flanders","Oost-Vlaanderen",43000
"40-49","All","Eeklo",11419,"Flanders","Oost-Vlaanderen",43000
"50-59","All","Eeklo",12699,"Flanders","Oost-Vlaanderen",43000
"60-69","All","Eeklo",10633,"Flanders","Oost-Vlaanderen",43000
"70-79","All","Eeklo",7869,"Flanders","Oost-Vlaanderen",43000
"80-89","All","Eeklo",5044,"Flanders","Oost-Vlaanderen",43000
"90+","All","Eeklo",1043,"Flanders","Oost-Vlaanderen",43000
"All","All","Eeklo",85692,"Flanders","Oost-Vlaanderen",43000
"0-9","F","Gent",29057,"Flanders","Oost-Vlaanderen",44000
"10-19","F","Gent",29039,"Flanders","Oost-Vlaanderen",44000
"20-29","F","Gent",37859,"Flanders","Oost-Vlaanderen",44000
"30-39","F","Gent",38657,"Flanders","Oost-Vlaanderen",44000
"40-49","F","Gent",36098,"Flanders","Oost-Vlaanderen",44000
"50-59","F","Gent",37219,"Flanders","Oost-Vlaanderen",44000
"60-69","F","Gent",31455,"Flanders","Oost-Vlaanderen",44000
"70-79","F","Gent",23853,"Flanders","Oost-Vlaanderen",44000
"80-89","F","Gent",16939,"Flanders","Oost-Vlaanderen",44000
"90+","F","Gent",4327,"Flanders","Oost-Vlaanderen",44000
"All","F","Gent",284503,"Flanders","Oost-Vlaanderen",44000
"0-9","M","Gent",30627,"Flanders","Oost-Vlaanderen",44000
"10-19","M","Gent",30485,"Flanders","Oost-Vlaanderen",44000
"20-29","M","Gent",38769,"Flanders","Oost-Vlaanderen",44000
"30-39","M","Gent",39844,"Flanders","Oost-Vlaanderen",44000
"40-49","M","Gent",37708,"Flanders","Oost-Vlaanderen",44000
"50-59","M","Gent",37788,"Flanders","Oost-Vlaanderen",44000
"60-69","M","Gent",30641,"Flanders","Oost-Vlaanderen",44000
"70-79","M","Gent",20715,"Flanders","Oost-Vlaanderen",44000
"80-89","M","Gent",11229,"Flanders","Oost-Vlaanderen",44000
"90+","M","Gent",1733,"Flanders","Oost-Vlaanderen",44000
"All","M","Gent",279539,"Flanders","Oost-Vlaanderen",44000
"0-9","All","Gent",59684,"Flanders","Oost-Vlaanderen",44000
"10-19","All","Gent",59524,"Flanders","Oost-Vlaanderen",44000
"20-29","All","Gent",76628,"Flanders","Oost-Vlaanderen",44000
"30-39","All","Gent",78501,"Flanders","Oost-Vlaanderen",44000
"40-49","All","Gent",73806,"Flanders","Oost-Vlaanderen",44000
"50-59","All","Gent",75007,"Flanders","Oost-Vlaanderen",44000
"60-69","All","Gent",62096,"Flanders","Oost-Vlaanderen",44000
"70-79","All","Gent",44568,"Flanders","Oost-Vlaanderen",44000
"80-89","All","Gent",28168,"Flanders","Oost-Vlaanderen",44000
"90+","All","Gent",6060,"Flanders","Oost-Vlaanderen",44000
"All","All","Gent",564042,"Flanders","Oost-Vlaanderen",44000
"0-9","F","Halle-Vilvoorde",37030,"Flanders","Vlaams-Brabant",23000
"10-19","F","Halle-Vilvoorde",38900,"Flanders","Vlaams-Brabant",23000
"20-29","F","Halle-Vilvoorde",35993,"Flanders","Vlaams-Brabant",23000
"30-39","F","Halle-Vilvoorde",40162,"Flanders","Vlaams-Brabant",23000
"40-49","F","Halle-Vilvoorde",43929,"Flanders","Vlaams-Brabant",23000
"50-59","F","Halle-Vilvoorde",45843,"Flanders","Vlaams-Brabant",23000
"60-69","F","Halle-Vilvoorde",37391,"Flanders","Vlaams-Brabant",23000
"70-79","F","Halle-Vilvoorde",27095,"Flanders","Vlaams-Brabant",23000
"80-89","F","Halle-Vilvoorde",18849,"Flanders","Vlaams-Brabant",23000
"90+","F","Halle-Vilvoorde",4702,"Flanders","Vlaams-Brabant",23000
"All","F","Halle-Vilvoorde",329894,"Flanders","Vlaams-Brabant",23000
"0-9","M","Halle-Vilvoorde",38638,"Flanders","Vlaams-Brabant",23000
"10-19","M","Halle-Vilvoorde",40599,"Flanders","Vlaams-Brabant",23000
"20-29","M","Halle-Vilvoorde",36480,"Flanders","Vlaams-Brabant",23000
"30-39","M","Halle-Vilvoorde",37590,"Flanders","Vlaams-Brabant",23000
"40-49","M","Halle-Vilvoorde",42365,"Flanders","Vlaams-Brabant",23000
"50-59","M","Halle-Vilvoorde",45182,"Flanders","Vlaams-Brabant",23000
"60-69","M","Halle-Vilvoorde",35725,"Flanders","Vlaams-Brabant",23000
"70-79","M","Halle-Vilvoorde",22973,"Flanders","Vlaams-Brabant",23000
"80-89","M","Halle-Vilvoorde",12356,"Flanders","Vlaams-Brabant",23000
"90+","M","Halle-Vilvoorde",1964,"Flanders","Vlaams-Brabant",23000
"All","M","Halle-Vilvoorde",313872,"Flanders","Vlaams-Brabant",23000
"0-9","All","Halle-Vilvoorde",75668,"Flanders","Vlaams-Brabant",23000
"10-19","All","Halle-Vilvoorde",79499,"Flanders","Vlaams-Brabant",23000
"20-29","All","Halle-Vilvoorde",72473,"Flanders","Vlaams-Brabant",23000
"30-39","All","Halle-Vilvoorde",77752,"Flanders","Vlaams-Brabant",23000
"40-49","All","Halle-Vilvoorde",86294,"Flanders","Vlaams-Brabant",23000
"50-59","All","Halle-Vilvoorde",91025,"Flanders","Vlaams-Brabant",23000
"60-69","All","Halle-Vilvoorde",73116,"Flanders","Vlaams-Brabant",23000
"70-79","All","Halle-Vilvoorde",50068,"Flanders","Vlaams-Brabant",23000
"80-89","All","Halle-Vilvoorde",31205,"Flanders","Vlaams-Brabant",23000
"90+","All","Halle-Vilvoorde",6666,"Flanders","Vlaams-Brabant",23000
"All","All","Halle-Vilvoorde",643766,"Flanders","Vlaams-Brabant",23000
"0-9","F","Hasselt",20578,"Flanders","Limburg",71000
"10-19","F","Hasselt",21579,"Flanders","Limburg",71000
"20-29","F","Hasselt",23490,"Flanders","Limburg",71000
"30-39","F","Hasselt",26714,"Flanders","Limburg",71000
"40-49","F","Hasselt",27716,"Flanders","Limburg",71000
"50-59","F","Hasselt",30215,"Flanders","Limburg",71000
"60-69","F","Hasselt",27746,"Flanders","Limburg",71000
"70-79","F","Hasselt",18968,"Flanders","Limburg",71000
"80-89","F","Hasselt",12409,"Flanders","Limburg",71000
"90+","F","Hasselt",2808,"Flanders","Limburg",71000
"All","F","Hasselt",212223,"Flanders","Limburg",71000
"0-9","M","Hasselt",21537,"Flanders","Limburg",71000
"10-19","M","Hasselt",22693,"Flanders","Limburg",71000
"20-29","M","Hasselt",23989,"Flanders","Limburg",71000
"30-39","M","Hasselt",26539,"Flanders","Limburg",71000
"40-49","M","Hasselt",28009,"Flanders","Limburg",71000
"50-59","M","Hasselt",31092,"Flanders","Limburg",71000
"60-69","M","Hasselt",27216,"Flanders","Limburg",71000
"70-79","M","Hasselt",17182,"Flanders","Limburg",71000
"80-89","M","Hasselt",8638,"Flanders","Limburg",71000
"90+","M","Hasselt",1194,"Flanders","Limburg",71000
"All","M","Hasselt",208089,"Flanders","Limburg",71000
"0-9","All","Hasselt",42115,"Flanders","Limburg",71000
"10-19","All","Hasselt",44272,"Flanders","Limburg",71000
"20-29","All","Hasselt",47479,"Flanders","Limburg",71000
"30-39","All","Hasselt",53253,"Flanders","Limburg",71000
"40-49","All","Hasselt",55725,"Flanders","Limburg",71000
"50-59","All","Hasselt",61307,"Flanders","Limburg",71000
"60-69","All","Hasselt",54962,"Flanders","Limburg",71000
"70-79","All","Hasselt",36150,"Flanders","Limburg",71000
"80-89","All","Hasselt",21047,"Flanders","Limburg",71000
"90+","All","Hasselt",4002,"Flanders","Limburg",71000
"All","All","Hasselt",420312,"Flanders","Limburg",71000
"0-9","F","Huy",6050,"Wallonia","Liège",61000
"10-19","F","Huy",6829,"Wallonia","Liège",61000
"20-29","F","Huy",6535,"Wallonia","Liège",61000
"30-39","F","Huy",7281,"Wallonia","Liège",61000
"40-49","F","Huy",7700,"Wallonia","Liège",61000
"50-59","F","Huy",8143,"Wallonia","Liège",61000
"60-69","F","Huy",7168,"Wallonia","Liège",61000
"70-79","F","Huy",4646,"Wallonia","Liège",61000
"80-89","F","Huy",2824,"Wallonia","Liège",61000
"90+","F","Huy",709,"Wallonia","Liège",61000
"All","F","Huy",57885,"Wallonia","Liège",61000
"0-9","M","Huy",6375,"Wallonia","Liège",61000
"10-19","M","Huy",7094,"Wallonia","Liège",61000
"20-29","M","Huy",6800,"Wallonia","Liège",61000
"30-39","M","Huy",7242,"Wallonia","Liège",61000
"40-49","M","Huy",7613,"Wallonia","Liège",61000
"50-59","M","Huy",8112,"Wallonia","Liège",61000
"60-69","M","Huy",6836,"Wallonia","Liège",61000
"70-79","M","Huy",3976,"Wallonia","Liège",61000
"80-89","M","Huy",1680,"Wallonia","Liège",61000
"90+","M","Huy",256,"Wallonia","Liège",61000
"All","M","Huy",55984,"Wallonia","Liège",61000
"0-9","All","Huy",12425,"Wallonia","Liège",61000
"10-19","All","Huy",13923,"Wallonia","Liège",61000
"20-29","All","Huy",13335,"Wallonia","Liège",61000
"30-39","All","Huy",14523,"Wallonia","Liège",61000
"40-49","All","Huy",15313,"Wallonia","Liège",61000
"50-59","All","Huy",16255,"Wallonia","Liège",61000
"60-69","All","Huy",14004,"Wallonia","Liège",61000
"70-79","All","Huy",8622,"Wallonia","Liège",61000
"80-89","All","Huy",4504,"Wallonia","Liège",61000
"90+","All","Huy",965,"Wallonia","Liège",61000
"All","All","Huy",113869,"Wallonia","Liège",61000
"0-9","F","Ieper",5446,"Flanders","West-Vlaanderen",33000
"10-19","F","Ieper",5771,"Flanders","West-Vlaanderen",33000
"20-29","F","Ieper",5930,"Flanders","West-Vlaanderen",33000
"30-39","F","Ieper",6139,"Flanders","West-Vlaanderen",33000
"40-49","F","Ieper",6444,"Flanders","West-Vlaanderen",33000
"50-59","F","Ieper",7382,"Flanders","West-Vlaanderen",33000
"60-69","F","Ieper",6495,"Flanders","West-Vlaanderen",33000
"70-79","F","Ieper",5031,"Flanders","West-Vlaanderen",33000
"80-89","F","Ieper",3672,"Flanders","West-Vlaanderen",33000
"90+","F","Ieper",1025,"Flanders","West-Vlaanderen",33000
"All","F","Ieper",53335,"Flanders","West-Vlaanderen",33000
"0-9","M","Ieper",5654,"Flanders","West-Vlaanderen",33000
"10-19","M","Ieper",6206,"Flanders","West-Vlaanderen",33000
"20-29","M","Ieper",6251,"Flanders","West-Vlaanderen",33000
"30-39","M","Ieper",6442,"Flanders","West-Vlaanderen",33000
"40-49","M","Ieper",6661,"Flanders","West-Vlaanderen",33000
"50-59","M","Ieper",7862,"Flanders","West-Vlaanderen",33000
"60-69","M","Ieper",6579,"Flanders","West-Vlaanderen",33000
"70-79","M","Ieper",4688,"Flanders","West-Vlaanderen",33000
"80-89","M","Ieper",2461,"Flanders","West-Vlaanderen",33000
"90+","M","Ieper",431,"Flanders","West-Vlaanderen",33000
"All","M","Ieper",53235,"Flanders","West-Vlaanderen",33000
"0-9","All","Ieper",11100,"Flanders","West-Vlaanderen",33000
"10-19","All","Ieper",11977,"Flanders","West-Vlaanderen",33000
"20-29","All","Ieper",12181,"Flanders","West-Vlaanderen",33000
"30-39","All","Ieper",12581,"Flanders","West-Vlaanderen",33000
"40-49","All","Ieper",13105,"Flanders","West-Vlaanderen",33000
"50-59","All","Ieper",15244,"Flanders","West-Vlaanderen",33000
"60-69","All","Ieper",13074,"Flanders","West-Vlaanderen",33000
"70-79","All","Ieper",9719,"Flanders","West-Vlaanderen",33000
"80-89","All","Ieper",6133,"Flanders","West-Vlaanderen",33000
"90+","All","Ieper",1456,"Flanders","West-Vlaanderen",33000
"All","All","Ieper",106570,"Flanders","West-Vlaanderen",33000
"0-9","F","Kortrijk",15573,"Flanders","West-Vlaanderen",34000
"10-19","F","Kortrijk",15280,"Flanders","West-Vlaanderen",34000
"20-29","F","Kortrijk",17199,"Flanders","West-Vlaanderen",34000
"30-39","F","Kortrijk",17881,"Flanders","West-Vlaanderen",34000
"40-49","F","Kortrijk",17802,"Flanders","West-Vlaanderen",34000
"50-59","F","Kortrijk",20181,"Flanders","West-Vlaanderen",34000
"60-69","F","Kortrijk",17533,"Flanders","West-Vlaanderen",34000
"70-79","F","Kortrijk",14000,"Flanders","West-Vlaanderen",34000
"80-89","F","Kortrijk",9818,"Flanders","West-Vlaanderen",34000
"90+","F","Kortrijk",2465,"Flanders","West-Vlaanderen",34000
"All","F","Kortrijk",147732,"Flanders","West-Vlaanderen",34000
"0-9","M","Kortrijk",16064,"Flanders","West-Vlaanderen",34000
"10-19","M","Kortrijk",16058,"Flanders","West-Vlaanderen",34000
"20-29","M","Kortrijk",17861,"Flanders","West-Vlaanderen",34000
"30-39","M","Kortrijk",18389,"Flanders","West-Vlaanderen",34000
"40-49","M","Kortrijk",18472,"Flanders","West-Vlaanderen",34000
"50-59","M","Kortrijk",21091,"Flanders","West-Vlaanderen",34000
"60-69","M","Kortrijk",17211,"Flanders","West-Vlaanderen",34000
"70-79","M","Kortrijk",11982,"Flanders","West-Vlaanderen",34000
"80-89","M","Kortrijk",6653,"Flanders","West-Vlaanderen",34000
"90+","M","Kortrijk",980,"Flanders","West-Vlaanderen",34000
"All","M","Kortrijk",144761,"Flanders","West-Vlaanderen",34000
"0-9","All","Kortrijk",31637,"Flanders","West-Vlaanderen",34000
"10-19","All","Kortrijk",31338,"Flanders","West-Vlaanderen",34000
"20-29","All","Kortrijk",35060,"Flanders","West-Vlaanderen",34000
"30-39","All","Kortrijk",36270,"Flanders","West-Vlaanderen",34000
"40-49","All","Kortrijk",36274,"Flanders","West-Vlaanderen",34000
"50-59","All","Kortrijk",41272,"Flanders","West-Vlaanderen",34000
"60-69","All","Kortrijk",34744,"Flanders","West-Vlaanderen",34000
"70-79","All","Kortrijk",25982,"Flanders","West-Vlaanderen",34000
"80-89","All","Kortrijk",16471,"Flanders","West-Vlaanderen",34000
"90+","All","Kortrijk",3445,"Flanders","West-Vlaanderen",34000
"All","All","Kortrijk",292493,"Flanders","West-Vlaanderen",34000
"0-9","F","La Louvière",7452,"Wallonia","Hainaut",58000
"10-19","F","La Louvière",8225,"Wallonia","Hainaut",58000
"20-29","F","La Louvière",8497,"Wallonia","Hainaut",58000
"30-39","F","La Louvière",8845,"Wallonia","Hainaut",58000
"40-49","F","La Louvière",9220,"Wallonia","Hainaut",58000
"50-59","F","La Louvière",10047,"Wallonia","Hainaut",58000
"60-69","F","La Louvière",9220,"Wallonia","Hainaut",58000
"70-79","F","La Louvière",6422,"Wallonia","Hainaut",58000
"80-89","F","La Louvière",3918,"Wallonia","Hainaut",58000
"90+","F","La Louvière",1078,"Wallonia","Hainaut",58000
"All","F","La Louvière",72924,"Wallonia","Hainaut",58000
"0-9","M","La Louvière",8020,"Wallonia","Hainaut",58000
"10-19","M","La Louvière",8564,"Wallonia","Hainaut",58000
"20-29","M","La Louvière",8613,"Wallonia","Hainaut",58000
"30-39","M","La Louvière",8907,"Wallonia","Hainaut",58000
"40-49","M","La Louvière",9365,"Wallonia","Hainaut",58000
"50-59","M","La Louvière",9487,"Wallonia","Hainaut",58000
"60-69","M","La Louvière",8033,"Wallonia","Hainaut",58000
"70-79","M","La Louvière",5072,"Wallonia","Hainaut",58000
"80-89","M","La Louvière",2138,"Wallonia","Hainaut",58000
"90+","M","La Louvière",347,"Wallonia","Hainaut",58000
"All","M","La Louvière",68546,"Wallonia","Hainaut",58000
"0-9","All","La Louvière",15472,"Wallonia","Hainaut",58000
"10-19","All","La Louvière",16789,"Wallonia","Hainaut",58000
"20-29","All","La Louvière",17110,"Wallonia","Hainaut",58000
"30-39","All","La Louvière",17752,"Wallonia","Hainaut",58000
"40-49","All","La Louvière",18585,"Wallonia","Hainaut",58000
"50-59","All","La Louvière",19534,"Wallonia","Hainaut",58000
"60-69","All","La Louvière",17253,"Wallonia","Hainaut",58000
"70-79","All","La Louvière",11494,"Wallonia","Hainaut",58000
"80-89","All","La Louvière",6056,"Wallonia","Hainaut",58000
"90+","All","La Louvière",1425,"Wallonia","Hainaut",58000
"All","All","La Louvière",141470,"Wallonia","Hainaut",58000
"0-9","F","Leuven",25307,"Flanders","Vlaams-Brabant",24000
"10-19","F","Leuven",27095,"Flanders","Vlaams-Brabant",24000
"20-29","F","Leuven",31279,"Flanders","Vlaams-Brabant",24000
"30-39","F","Leuven",32109,"Flanders","Vlaams-Brabant",24000
"40-49","F","Leuven",33382,"Flanders","Vlaams-Brabant",24000
"50-59","F","Leuven",36093,"Flanders","Vlaams-Brabant",24000
"60-69","F","Leuven",31336,"Flanders","Vlaams-Brabant",24000
"70-79","F","Leuven",22758,"Flanders","Vlaams-Brabant",24000
"80-89","F","Leuven",15494,"Flanders","Vlaams-Brabant",24000
"90+","F","Leuven",4000,"Flanders","Vlaams-Brabant",24000
"All","F","Leuven",258853,"Flanders","Vlaams-Brabant",24000
"0-9","M","Leuven",26627,"Flanders","Vlaams-Brabant",24000
"10-19","M","Leuven",28298,"Flanders","Vlaams-Brabant",24000
"20-29","M","Leuven",32404,"Flanders","Vlaams-Brabant",24000
"30-39","M","Leuven",32230,"Flanders","Vlaams-Brabant",24000
"40-49","M","Leuven",33488,"Flanders","Vlaams-Brabant",24000
"50-59","M","Leuven",36755,"Flanders","Vlaams-Brabant",24000
"60-69","M","Leuven",30709,"Flanders","Vlaams-Brabant",24000
"70-79","M","Leuven",20474,"Flanders","Vlaams-Brabant",24000
"80-89","M","Leuven",10547,"Flanders","Vlaams-Brabant",24000
"90+","M","Leuven",1692,"Flanders","Vlaams-Brabant",24000
"All","M","Leuven",253224,"Flanders","Vlaams-Brabant",24000
"0-9","All","Leuven",51934,"Flanders","Vlaams-Brabant",24000
"10-19","All","Leuven",55393,"Flanders","Vlaams-Brabant",24000
"20-29","All","Leuven",63683,"Flanders","Vlaams-Brabant",24000
"30-39","All","Leuven",64339,"Flanders","Vlaams-Brabant",24000
"40-49","All","Leuven",66870,"Flanders","Vlaams-Brabant",24000
"50-59","All","Leuven",72848,"Flanders","Vlaams-Brabant",24000
"60-69","All","Leuven",62045,"Flanders","Vlaams-Brabant",24000
"70-79","All","Leuven",43232,"Flanders","Vlaams-Brabant",24000
"80-89","All","Leuven",26041,"Flanders","Vlaams-Brabant",24000
"90+","All","Leuven",5692,"Flanders","Vlaams-Brabant",24000
"All","All","Leuven",512077,"Flanders","Vlaams-Brabant",24000
"0-9","F","Liège",34479,"Wallonia","Liège",62000
"10-19","F","Liège",34772,"Wallonia","Liège",62000
"20-29","F","Liège",40022,"Wallonia","Liège",62000
"30-39","F","Liège",41798,"Wallonia","Liège",62000
"40-49","F","Liège",39291,"Wallonia","Liège",62000
"50-59","F","Liège",41179,"Wallonia","Liège",62000
"60-69","F","Liège",38760,"Wallonia","Liège",62000
"70-79","F","Liège",27997,"Wallonia","Liège",62000
"80-89","F","Liège",17646,"Wallonia","Liège",62000
"90+","F","Liège",4666,"Wallonia","Liège",62000
"All","F","Liège",320610,"Wallonia","Liège",62000
"0-9","M","Liège",35708,"Wallonia","Liège",62000
"10-19","M","Liège",36168,"Wallonia","Liège",62000
"20-29","M","Liège",39883,"Wallonia","Liège",62000
"30-39","M","Liège",41405,"Wallonia","Liège",62000
"40-49","M","Liège",40494,"Wallonia","Liège",62000
"50-59","M","Liège",40964,"Wallonia","Liège",62000
"60-69","M","Liège",35761,"Wallonia","Liège",62000
"70-79","M","Liège",22493,"Wallonia","Liège",62000
"80-89","M","Liège",10636,"Wallonia","Liège",62000
"90+","M","Liège",1643,"Wallonia","Liège",62000
"All","M","Liège",305155,"Wallonia","Liège",62000
"0-9","All","Liège",70187,"Wallonia","Liège",62000
"10-19","All","Liège",70940,"Wallonia","Liège",62000
"20-29","All","Liège",79905,"Wallonia","Liège",62000
"30-39","All","Liège",83203,"Wallonia","Liège",62000
"40-49","All","Liège",79785,"Wallonia","Liège",62000
"50-59","All","Liège",82143,"Wallonia","Liège",62000
"60-69","All","Liège",74521,"Wallonia","Liège",62000
"70-79","All","Liège",50490,"Wallonia","Liège",62000
"80-89","All","Liège",28282,"Wallonia","Liège",62000
"90+","All","Liège",6309,"Wallonia","Liège",62000
"All","All","Liège",625765,"Wallonia","Liège",62000
"0-9","F","Maaseik",12355,"Flanders","Limburg",72000
"10-19","F","Maaseik",12884,"Flanders","Limburg",72000
"20-29","F","Maaseik",13735,"Flanders","Limburg",72000
"30-39","F","Maaseik",15392,"Flanders","Limburg",72000
"40-49","F","Maaseik",15770,"Flanders","Limburg",72000
"50-59","F","Maaseik",19550,"Flanders","Limburg",72000
"60-69","F","Maaseik",16702,"Flanders","Limburg",72000
"70-79","F","Maaseik",10877,"Flanders","Limburg",72000
"80-89","F","Maaseik",7019,"Flanders","Limburg",72000
"90+","F","Maaseik",1325,"Flanders","Limburg",72000
"All","F","Maaseik",125609,"Flanders","Limburg",72000
"0-9","M","Maaseik",13128,"Flanders","Limburg",72000
"10-19","M","Maaseik",13651,"Flanders","Limburg",72000
"20-29","M","Maaseik",14401,"Flanders","Limburg",72000
"30-39","M","Maaseik",15444,"Flanders","Limburg",72000
"40-49","M","Maaseik",15916,"Flanders","Limburg",72000
